params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, MEC total edges, MEC unoriented edges, Precision, Recall
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 2, 1, 4, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 3, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 3, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 3, 1, 2, 3, 2, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 3, 1, 2, 3, 2, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 4, 24, 24, 6, 12, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 4, 24, 24, 6, 12, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 4, 1, 24, 6, 12, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 4, 1, 24, 6, 12, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 5, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 5, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 5, 1, 2, 4, 2, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 5, 1, 2, 4, 2, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 6, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 6, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 6, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 6, 2, 2, 3, 2, 1.0, 0.6666666666666666
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 7, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 7, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 7, 4, 8, 4, 8, 1.0, 0.5
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 7, 4, 8, 4, 8, 1.0, 0.5
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 8, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 8, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 8, 6, 8, 4, 8, 1.0, 0.25
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 8, 6, 8, 4, 8, 1.0, 0.25
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 9, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 9, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 9, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 9, 2, 2, 4, 2, 1.0, 0.75
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 10, 3, 3, 2, 4, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 10, 3, 3, 2, 4, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 10, 1, 3, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 10, 1, 3, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 11, 3, 3, 2, 4, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 11, 3, 3, 2, 4, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 11, 1, 3, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 11, 1, 3, 2, 4, 1.0, 1.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 12, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 12, 8, 8, 4, 8, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 2, 12, 6, 8, 4, 8, 1.0, 0.25
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 2, 12, 6, 8, 4, 8, 1.0, 0.25
2, 4, 2, 1, None, 0.5, 20, None, er, PC (pool all), False, 1, 13, 4, 4, 3, 6, 0, 0.0
2, 4, 2, 1, None, 0.5, 20, None, er, Min changes (oracle), False, 1, 13, 4, 4, 3, 6, 0, 0.0
