params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, XY, 0.866, 0.0
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 0, YX, 0.0, 0.545
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 1, YX, 0.0, 0.965
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, XY, 0.0, 0.004
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 2, YX, 0.0, 0.924
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 3, YX, 0.0, 0.924
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, XY, 0.001, 0.001
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.628
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.0, 0.001
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.713
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.924
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
6, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.112
