Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
3, [0,1], 200, 14, 0.564, 0.0, 0.0, 0.01
3, [0,1], 200, 15, 0.03, 0.0, 0.0, 0.891
3, [0,1], 200, 16, 0.01, 0.0, 0.012, 0.455
3, [0,1], 200, 17, 0.644, 0.0, 0.0, 1.0
3, [0,1], 200, 18, 0.03, 0.0, 0.005, 0.871
3, [0,1], 200, 19, 0.703, 0.0, 0.001, 0.01
3, [0,1], 300, 0, 0.515, 0.0, 0.013, 0.98
3, [0,1], 300, 1, 0.287, 0.0, 0.0, 0.95
3, [0,1], 300, 2, 0.683, 0.0, 0.0, 0.98
3, [0,1], 300, 3, 0.277, 0.0, 0.0, 0.99
3, [0,1], 300, 4, 0.089, 0.0, 0.0, 0.95
3, [0,1], 300, 5, 0.01, 0.003, 0.0, 0.059
3, [0,1], 300, 6, 0.01, 0.0, 0.0, 0.614
3, [0,1], 300, 7, 0.01, 0.0, 0.0, 0.059
3, [0,1], 300, 8, 0.713, 0.0, 0.0, 0.01
3, [0,1], 300, 9, 0.02, 0.022, 0.0, 0.02
3, [0,1], 300, 10, 0.01, 0.279, 0.057, 0.01
3, [0,1], 300, 11, 0.168, 0.0, 0.0, 0.802
3, [0,1], 300, 12, 0.911, 0.008, 0.0, 0.713
3, [0,1], 300, 13, 0.634, 0.0, 0.0, 1.0
3, [0,1], 300, 14, 0.109, 0.0, 0.0, 0.198
3, [0,1], 300, 15, 0.465, 0.0, 0.0, 0.614
3, [0,1], 300, 16, 0.96, 0.0, 0.079, 0.04
3, [0,1], 300, 17, 0.337, 0.0, 0.0, 0.04
3, [0,1], 300, 18, 0.04, 0.0, 1.0, 0.01
3, [0,1], 300, 19, 0.772, 0.0, 0.0, 0.861
