Params, Params, Params, Params, DAG-1, DAG-1, DAG-1, DAG-5, DAG-5, DAG-5, DAG-7, DAG-7, DAG-7, DAG-17, DAG-17, DAG-17, DAG-19, DAG-19, DAG-19, DAG-23, DAG-23, DAG-23
params_index, intervention_targets, n_samples, rep, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3, X1, X2, X3
1, [None,1], 100, 11, 0.185, 0.01, 0.554, 0.01, 0.01, 0.446, 0.185, 0.01, 0.901, 0.01, 0.0, 0.168, 0.693, 0.0, 0.525, 0.01, 0.01, 0.446
1, [None,1], 100, 12, 0.332, 0.01, 0.594, 0.317, 0.871, 0.012, 0.332, 0.871, 0.01, 0.257, 0.086, 0.455, 0.109, 0.086, 0.564, 0.317, 0.851, 0.012
1, [None,1], 100, 13, 0.068, 0.079, 0.673, 0.099, 0.257, 0.0, 0.068, 0.277, 0.109, 0.069, 0.0, 0.475, 0.584, 0.0, 0.604, 0.059, 0.604, 0.0
1, [None,1], 100, 14, 1.0, 0.01, 0.02, 0.01, 0.01, 0.0, 1.0, 0.01, 0.02, 0.01, 0.0, 0.178, 0.149, 0.0, 0.02, 0.01, 0.01, 0.0
1, [None,1], 100, 15, 1.0, 0.01, 0.218, 0.525, 0.01, 0.015, 1.0, 0.01, 0.416, 0.119, 0.0, 0.426, 0.356, 0.0, 0.109, 0.139, 0.01, 0.015
1, [None,1], 100, 16, 0.293, 0.01, 0.119, 0.851, 0.01, 0.0, 0.293, 0.01, 0.04, 0.743, 0.0, 0.396, 0.891, 0.0, 0.119, 0.693, 0.01, 0.0
1, [None,1], 100, 17, 0.625, 0.01, 0.574, 0.535, 0.01, 0.36, 0.625, 0.01, 0.089, 0.01, 0.03, 0.752, 0.188, 0.03, 0.604, 0.01, 0.594, 0.36
1, [None,1], 100, 18, 0.161, 0.01, 0.644, 0.287, 0.01, 0.006, 0.161, 0.01, 0.02, 0.01, 0.0, 0.436, 0.198, 0.0, 0.653, 0.01, 0.02, 0.006
1, [None,1], 100, 19, 1.0, 0.01, 0.238, 0.604, 0.069, 0.009, 1.0, 0.02, 0.03, 0.03, 0.0, 0.347, 0.267, 0.0, 0.297, 0.04, 0.01, 0.009
1, [None,1], 200, 0, 1.0, 0.01, 0.495, 0.584, 0.01, 0.0, 1.0, 0.01, 0.01, 0.059, 0.0, 0.05, 0.238, 0.0, 0.455, 0.099, 0.059, 0.0
1, [None,1], 200, 1, 0.723, 0.01, 0.812, 0.653, 0.109, 0.0, 0.723, 0.099, 0.01, 0.426, 0.0, 0.347, 0.515, 0.0, 0.703, 0.376, 0.198, 0.0
1, [None,1], 200, 2, 0.547, 0.01, 0.554, 0.832, 0.366, 0.0, 0.547, 0.307, 0.01, 0.941, 0.0, 0.188, 0.307, 0.0, 0.772, 0.96, 0.406, 0.0
1, [None,1], 200, 3, 0.172, 0.01, 0.218, 0.01, 0.01, 0.0, 0.172, 0.01, 0.01, 0.01, 0.0, 0.099, 0.109, 0.0, 0.178, 0.01, 0.01, 0.0
1, [None,1], 200, 4, 1.0, 0.01, 0.307, 0.158, 0.079, 0.0, 1.0, 0.129, 0.01, 0.139, 0.0, 0.109, 0.752, 0.0, 0.248, 0.079, 0.356, 0.0
1, [None,1], 200, 5, 0.237, 0.01, 0.495, 0.257, 0.01, 0.0, 0.237, 0.01, 0.01, 0.99, 0.0, 0.208, 0.772, 0.0, 0.366, 0.97, 0.02, 0.0
1, [None,1], 200, 6, 0.026, 0.079, 0.416, 0.723, 0.812, 0.093, 0.026, 0.792, 0.267, 0.792, 0.236, 0.05, 0.05, 0.236, 0.376, 0.881, 0.792, 0.093
1, [None,1], 200, 7, 0.844, 0.01, 0.505, 0.02, 0.01, 0.372, 0.844, 0.01, 0.03, 0.713, 0.0, 0.099, 0.109, 0.0, 0.535, 0.762, 0.01, 0.372
1, [None,1], 200, 8, 0.024, 0.01, 0.099, 0.782, 0.03, 0.0, 0.024, 0.02, 0.01, 0.208, 0.0, 0.426, 0.119, 0.0, 0.109, 0.228, 0.356, 0.0
1, [None,1], 200, 9, 1.0, 0.01, 0.723, 0.03, 0.01, 0.001, 1.0, 0.01, 0.01, 0.04, 0.0, 0.287, 0.436, 0.0, 0.752, 0.059, 0.059, 0.001
1, [None,1], 200, 10, 0.332, 0.01, 0.465, 0.723, 0.01, 0.001, 0.332, 0.01, 0.109, 0.099, 0.0, 0.287, 0.01, 0.0, 0.495, 0.158, 0.703, 0.001
1, [None,1], 200, 11, 0.115, 0.01, 0.485, 0.376, 0.01, 0.684, 0.115, 0.01, 0.653, 0.01, 0.0, 0.099, 0.149, 0.0, 0.535, 0.01, 0.01, 0.684
1, [None,1], 200, 12, 0.319, 0.01, 0.218, 0.475, 0.248, 0.0, 0.319, 0.248, 0.01, 0.208, 0.0, 0.089, 0.277, 0.0, 0.257, 0.356, 0.485, 0.0
1, [None,1], 200, 13, 0.777, 0.01, 0.317, 0.356, 0.01, 0.0, 0.777, 0.01, 0.01, 0.04, 0.0, 0.238, 0.426, 0.0, 0.198, 0.04, 0.248, 0.0
1, [None,1], 200, 14, 0.252, 0.01, 0.02, 0.01, 0.01, 0.011, 0.252, 0.01, 0.356, 0.02, 0.0, 0.198, 0.782, 0.0, 0.01, 0.01, 0.168, 0.011
1, [None,1], 200, 15, 0.755, 0.01, 0.406, 0.218, 0.01, 0.0, 0.755, 0.01, 0.01, 0.01, 0.0, 0.683, 0.772, 0.0, 0.327, 0.01, 0.01, 0.0
